,doi,forum,forum id,paper id,title,year
907,10.1145/2851581.2892313,CHI Extended Abstracts,conf/chi,conf/chi/ChienHW16,Sharing a Robotic Pet as a Maintenance Strategy for Romantic Couples in Long-Distance Relationships. - An Autobiographical Design Exploration.,2016
908,10.1145/2851581.2892364,CHI Extended Abstracts,conf/chi,conf/chi/JudeGP16,"Reporting and Visualizing Fitts&apos;s Law - Dataset, Tools and Methodologies.",2016
909,10.1145/2851581.2892485,CHI Extended Abstracts,conf/chi,conf/chi/KlarkowskiJWPS16,Psychophysiology of Challenge in Play - EDA and Self-Reported Arousal.,2016
910,10.1145/2858036.2858132,CHI,conf/chi,conf/chi/LeavittKC16,Ping to Win? - Non-Verbal Communication and Team Performance in Competitive Online Multiplayer Games.,2016
911,10.1145/2851581.2851590,CHI Extended Abstracts,conf/chi,conf/chi/Liikkanen16,UX Strategy as a Kick-starter for Design Transformation in an Engineering Company.,2016
912,10.1145/2851581.2892421,CHI Extended Abstracts,conf/chi,conf/chi/LykourentzouWKD16,Team Dating - A Self-Organized Team Formation Strategy for Collaborative Crowdsourcing.,2016
913,10.1145/2851581.2892368,CHI Extended Abstracts,conf/chi,conf/chi/OhLL16,How to Report App Feedback? - Analyzing Feedback Reporting Behavior.,2016
914,10.1145/2858036.2858360,CHI,conf/chi,conf/chi/ZhangPF16,Examining Unlock Journaling with Diaries and Reminders for In Situ Self-Report in Health and Wellness.,2016
915,10.1145/2702123.2702315,CHI,conf/chi,conf/chi/MaiorPSW15,Examining the Reliability of Using fNIRS in Realistic HCI Settings for Spatial and Verbal Tasks.,2015
916,10.1145/2702123.2702590,CHI,conf/chi,conf/chi/OttleyYC15,Personality as a Predictor of User Strategy - How Locus of Control Affects Search Strategies on Tree Visualizations.,2015
917,10.1145/2702613.2732893,CHI Extended Abstracts,conf/chi,conf/chi/RostamiSB15,Testing in the Field - Voice Based Interaction for Citizen Reporting in Uganda.,2015
918,10.1145/2559206.2581302,CHI Extended Abstracts,conf/chi,conf/chi/JonesHCT14,Supporting non-verbal visual communication in online group art therapy.,2014
919,10.1145/2556288.2556974,CHI,conf/chi,conf/chi/PikeMPSW14,Measuring the effect of think aloud protocols on workload using fNIRS.,2014
